2ddglcn_e,
2hxmp_e,
2pg_e,
2pglyc_e,
3amba_e,
3amp_e,
3cmp_e,
3gmp_e,
3pg_e,
3ump_e,
4abut_e,
5mtr_e,
6pgc_e,
L_alagly_e,
Larab_e,
Lcyst_e,
abt__L_e,
ac_e,
acac_e,
acgam_e,
acmana_e,
acnam_e,
actn__R_e,
ade_e,
adn_e,
akg_e,
ala_B_e,
ala__D_e,
ala_L_Thr__L_e,
ala_L_asp__L_e,
ala__L_e,
ala_L_gln__L_e,
ala_L_glu__L_e,
ala_L_his__L_e,
ala_L_leu__L_e,
alaala_e,
alltn_e,
amp_e,
amylase_e,
antim_e,
arab__D_e,
arab__L_e,
arbt_e,
arg__L_e,
argp_e,
arsenb_e,
arsna_e,
arsni2_e,
asn__L_e,
asp__L_e,
bilea_e,
btd_RR_e,
buts_e,
ca2_e,
cbl2_e,
cd2_e,
cellb_e,
cgly_e,
chitob_e,
chol_e,
chols_e,
chor_e,
cit_e,
citr__L_e,
cmp_e,
co2_e,
cobalt2_e,
crn_e,
cro4_e,
csn_e,
ctbt_e,
cu2_e,
cys__D_e,
cys__L_e,
cyst__L_e,
cytd_e,
dad_2_e,
dcyt_e,
dextrin_e,
dha_e,
diact_e,
djenk_e,
drib_e,
dtmp_e,
ectoine_e,
etha_e,
eths_e,
etoh_e,
f6p_e,
fe2_e,
fe3_e,
ferrich_e,
ferxa_e,
fol_e,
for_e,
fru_e,
fum_e,
g1p_e,
g6p_e,
gal_e,
galctr__D_e,
galt_e,
galur_e,
gam6p_e,
gam_e,
gbbtn_e,
glc__D_e,
glcn__D_e,
glcr_e,
glcur_e,
gln__L_e,
glu__D_e,
glu__L_e,
glx_e,
gly_asn__L_e,
gly_asp__L_e,
gly_e,
gly_gln__L_e,
gly_glu__L_e,
gly_met__L_e,
gly_pro__L_e,
glyb_e,
glyc3p_e,
glyc_e,
glyclt_e,
glycogen_e,
gmp_e,
gsn_e,
gthox_e,
gthrd_e,
gua_e,
h2o2_e,
h2o_e,
h_e,
hexs_e,
hg2_e,
his__L_e,
hqn_e,
hxan_e,
icit_e,
ile__L_e,
inost_e,
ins_e,
istnt_e,
k_e,
lac__L_e,
lanth_e,
lcts_e,
leu__L_e,
lipt_e,
lys__L_e,
madg_e,
mal__D_e,
mal__L_e,
malt_e,
malttr_e,
man1p_e,
man6p_e,
man_e,
mbdg_e,
melib_e,
meoh_e,
met__D_e,
met_L_ala__L_e,
met__L_e,
metox__R_e,
metox_e,
mg2_e,
mn2_e,
mnl_e,
mobd_e,
mops_e,
mso3_e,
na1_e,
nac_e,
nh4_e,
ni2_e,
no2_e,
no3_e,
o2_e,
orn__L_e,
pala_e,
pep_e,
phe__L_e,
pi_e,
pnto__R_e,
ppa_e,
ppi_e,
pro__L_e,
prolb_e,
pser__D_e,
pser__L_e,
pur_e,
pyr_e,
raffin_e,
rib__D_e,
ribflv_e,
rmn_e,
salcn_e,
sbt__D_e,
ser__D_e,
ser__L_e,
so4_e,
spmd_e,
srb__L_e,
starch_e,
subtilisin_e,
succ_e,
sucr_e,
sula_e,
taur_e,
thiog_e,
thr__L_e,
thym_e,
thymd_e,
tmp_e,
tre_e,
trp__L_e,
tyr__L_e,
ump_e,
ura_e,
urate_e,
urea_e,
uri_e,
val__L_e,
xan_e,
xtsn_e,
xyl__D_e,
zn2_e,
