1a25dhvitd3[n],
25hvitd3[u],
hco3[e],
na1[e],
34dhphe[u],
leu_L[u],
34dhphe[e],
4abut[n],
ala_L[e],
4hpro_LT[e],
4hpro_LT[u],
na1[u],
cl[u],
5mthf[u],
oh1[u],
adn[e],
adn[u],
ala_D[e],
alaala[u],
h[u],
ala_L[u],
asn_L[u],
cys_L[e],
cys_L[u],
gln_L[e],
gly[e],
ala_D[u],
gln_L[u],
ile_L[e],
phe_L[e],
ser_L[e],
ser_L[u],
thr_L[e],
thr_L[u],
arg_L[e],
h[e],
h2o[u],
strch1[u],
glc_D[u],
strch2[u],
glygn2[u],
glygn4[u],
arachd[u],
arach[u],
arg_L[u],
ascb_L[u],
ascb_L[e],
asn_L[e],
asp_D[e],
asp_D[u],
k[u],
asp_L[e],
pro_L[e],
asp_L[u],
ala_B[u],
bglc[u],
gchola[u],
glgchlo[u],
tchola[u],
gltcho[u],
tdechola[u],
gltdechol[u],
bildglcur[e],
bildglcur[u],
bilglcur[u],
btn[e],
btn[u],
c8crn[e],
carn[u],
adocbl[e],
adocbl[u],
chsterol[e],
chsterol[u],
cholate[u],
cholate[e],
chol[e],
chol[u],
co2[e],
co[e],
crn[u],
crn[e],
cysam[u],
o2[u],
hyptaur[u],
Lcystin[u],
Lcystin[e],
glu_L[e],
cytd[e],
cytd[u],
q10[u],
dad_2[e],
dad_2[u],
datp[m],
datp[n],
dctp[m],
dctp[n],
dcyt[e],
dcyt[u],
dgsn[e],
dgsn[u],
dgtp[m],
dgtp[n],
dhdascb[e],
dhdascb[u],
din[e],
din[u],
5HPET[r],
taur[c],
dttp[m],
dttp[n],
pmtcoa[r],
dpcoa[u],
amp[u],
pan4p[u],
duri[e],
duri[u],
tmndnc[u],
4abut[u],
5mthf[e],
avite1[u],
dchac[u],
fad[u],
glu_L[u],
glygly[u],
glyleu[u],
glyphe[u],
glypro[u],
glysar[u],
gum[u],
gumdchac[u],
gumgchol[u],
gumtchol[u],
hdca[u],
ile_L[u],
lac_L[u],
lcts[u],
leugly[u],
leuleu[u],
lnlncg[u],
lys_L[u],
met_L[u],
nac[u],
ncam[u],
orn[u],
pect[u],
pectindchac[u],
pectingchol[u],
pectintchol[u],
phyQ[u],
pi[u],
pnto_R[u],
pro_D[u],
pro_L[u],
progly[u],
psyl[u],
psylchol[u],
psyltchol[u],
psyltdechol[u],
ptrc[u],
retinol[u],
sbt_D[u],
slfcys[e],
spmd[u],
sprm[u],
sucr[u],
taur[u],
thymd[u],
tre[u],
trp_L[u],
Tyr_ggn[u],
tyr_L[u],
val_L[u],
ala_B[e],
atp[u],
avite1[e],
cl[e],
coa[u],
fe2[u],
fe3[e],
fmn[u],
fol[u],
fru[e],
fru[u],
gal[e],
gal[u],
gam[e],
gam[u],
gchola[e],
glc_D[e],
gly[u],
glyc[u],
glygn5[u],
gsn[e],
gsn[u],
h2o[e],
his_L[e],
his_L[u],
ins[e],
ins[u],
k[e],
lac_L[e],
leu_L[e],
lnlncg[e],
lys_L[e],
malt[u],
man[e],
man[u],
met_L[e],
nac[e],
ncam[e],
no[u],
o2[e],
octa[e],
octa[u],
orn[e],
phe_L[u],
pheme[u],
phyQ[e],
pi[e],
pnto_R[e],
ppi[u],
pro_D[e],
ptrc[e],
ptth[u],
pydam[e],
pydam[u],
pydx[e],
pydx[u],
pydxn[e],
pydxn[u],
q10h2[e],
retn[e],
rib_D[e],
rib_D[u],
ribflv[e],
ribflv[u],
sbt_D[e],
spmd[e],
sprm[e],
taur[e],
tchola[e],
thm[e],
thm[u],
thymd[e],
trp_L[e],
tyr_L[e],
urate[e],
urea[e],
uri[e],
uri[u],
val_L[e],
vitd3[e],
vitd3[u],
xylt[e],
xylt[u],
5HPET[c],
citr_L[e],
tag_lnlc[u],
mag_lnlc[u],
tag_lnlnca[u],
mag_lnlnca[u],
tag_ocdca[u],
mag_ocdca[u],
tag_ocdcea[u],
mag_ocdcea[u],
tag_hdca[u],
mag_hdca[u],
tag_ttdca[u],
mag_ttdca[u],
chylo[e],
pchol_mmu[u],
lpchol_mmu[u],
lpchol_mmu[e],
pchol_mmu[e],
pe_mmu[r],
pe_mmu[u],
atp[e],
